id,question,option1,option2,option3,next_question_id_option1,next_question_id_option2,next_question_id_option3
59,How does meditation affect your stress levels?,Reduces stress,Improves focus,No impact,176,177,178
60,What benefits do you experience from meditation?,Reduced anxiety,Improved concentration,Better sleep,179,180,181
61,How often do you practice meditation?,Daily,Weekly,Occasionally,182,183,184
62,What types of books do you read for stress relief?,Self-help,Inspirational,Relaxation,185,186,187
63,How does reading help you?,Provides escape,Improves mood,Increases knowledge,188,189,190
64,How often do you read for stress relief?,Daily,Weekly,Occasionally,191,192,193
65,What other techniques do you use for managing stress?,Hobbies,Exercise,Relaxation techniques,194,195,196
66,How effective are these techniques for you?,Very effective,Somewhat effective,Not effective,197,198,199
67,What other stress management techniques do you find helpful?,Mindfulness,Deep breathing,Other,200,201,202
68,What is your primary method for managing work-related stress?,Taking breaks,Seeking support,Managing workload,203,204,205
69,How effective is taking breaks for you?,Very effective,Somewhat effective,Not effective,206,207,208
70,What type of support do you seek for work-related stress?,Colleagues,Manager,External resources,209,210,211
71,What is your primary method for managing personal life stress?,Talking to friends,Engaging in hobbies,Seeking professional help,212,213,214
72,How effective is talking to friends for you?,Very effective,Somewhat effective,Not effective,215,216,217
73,What hobbies help you manage stress?,Creative activities,Outdoor activities,Relaxation activities,218,219,220
74,What is your biggest stressor?,Workload,Personal issues,Other,221,222,223
75,How do you manage workload-related stress?,Prioritization,Delegation,Time management,224,225,226
76,What personal issues cause you the most stress?,Family,Health,Financial issues,227,228,229
77,What method works best for you to cope with stress?,Exercise,Social support,Professional help,230,231,232
78,How do you find social support?,Friends,Family,Support groups,233,234,235
79,What type of professional help do you prefer?,Therapy,Coaching,Support groups,236,237,238
80,How often do you seek professional help?,Regularly,Occasionally,Never,239,240,241
81,What type of support is most beneficial?,Emotional support,Practical help,Guidance,242,243,244
82,What is your primary coping strategy?,Active coping,Support seeking,Avoidance,245,246,247
83,How effective is talking to someone for you?,Very effective,Somewhat effective,Not effective,248,249,250
84,How do you prefer to receive emotional support?,Face-to-face,Online,Phone,251,252,253
85,How do you feel after receiving emotional support?,Rejuvenated,Neutral,More stressed,254,255,256
86,How do you prefer to exercise?,Individually,In a group,With a trainer,257,258,259
87,What motivates you to exercise?,Health benefits,Social interaction,Personal achievement,260,261,262
88,What type of workouts do you enjoy?,Cardio,Strength training,Flexibility exercises,263,264,265
89,How often do you seek professional help?,Monthly,Quarterly,Annually,266,267,268
90,How do you feel about online therapy?,Convenient,Less personal,Effective,269,270,271
91,What type of social support is most effective for you?,Emotional,Practical,Informational,272,273,274
92,How often do you seek emotional support?,Frequently,Occasionally,Rarely,275,276,277
93,What type of emotional support do you prefer?,Active listening,Advice,Sympathy,278,279,280
94,How do you feel after receiving support from friends?,Comforted,Indifferent,More stressed,281,282,283
95,What changes would you make to your therapy routine?,Increase frequency,Change therapist,Add techniques,284,285,286
96,What is your preferred time for therapy?,Morning,Afternoon,Evening,287,288,289
97,How effective is your current therapy routine?,Very effective,Moderately effective,Not effective,290,291,292
98,How do you feel after attending therapy sessions?,Relieved,Unchanged,More stressed,293,294,295
99,How often do you attend social events?,Weekly,Monthly,Rarely,296,297,298
100,What type of social events do you enjoy the most?,Gatherings,Parties,Meetups,299,300,301
